,id,name,artist,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
30,6xZ4Q2k2ompmDppyeESIY8,Level of Concern,Twenty One Pilots,Level of Concern,0.754,0.583,4,-7.34,0,0.0432,0.32,0.00015,0.144,0.77,122.012,audio_features,spotify:track:6xZ4Q2k2ompmDppyeESIY8,https://api.spotify.com/v1/tracks/6xZ4Q2k2ompmDppyeESIY8,https://api.spotify.com/v1/audio-analysis/6xZ4Q2k2ompmDppyeESIY8,220051,4
31,3V9cM3nCH2G66afoDi0snu,BOOM,X Ambassadors,ORION,0.732,0.594,11,-5.911,0,0.0693,0.00805,0.0301,0.0802,0.676,107.996,audio_features,spotify:track:3V9cM3nCH2G66afoDi0snu,https://api.spotify.com/v1/tracks/3V9cM3nCH2G66afoDi0snu,https://api.spotify.com/v1/audio-analysis/3V9cM3nCH2G66afoDi0snu,164587,4
32,4xiyq1iRdsxuU1BPUJ490Z,Close To Me,The Cure,The Head On The Door (Remastered),0.724,0.523,11,-11.139,1,0.116,0.0745,0.703,0.0811,0.965,185.075,audio_features,spotify:track:4xiyq1iRdsxuU1BPUJ490Z,https://api.spotify.com/v1/tracks/4xiyq1iRdsxuU1BPUJ490Z,https://api.spotify.com/v1/audio-analysis/4xiyq1iRdsxuU1BPUJ490Z,203267,4
33,029NqmIySn1kOY305AAhxT,Sledgehammer,Peter Gabriel,So (Remastered),0.657,0.685,1,-5.203,1,0.0334,0.0246,0.0,0.037,0.424,96.458,audio_features,spotify:track:029NqmIySn1kOY305AAhxT,https://api.spotify.com/v1/tracks/029NqmIySn1kOY305AAhxT,https://api.spotify.com/v1/audio-analysis/029NqmIySn1kOY305AAhxT,313533,4
34,2LQl7VZ33XSVE68pgAiK1o,What If I,Pennywise,Full Circle (2005 Remaster),0.36,0.987,9,-4.105,0,0.0572,0.000542,0.000249,0.206,0.532,96.597,audio_features,spotify:track:2LQl7VZ33XSVE68pgAiK1o,https://api.spotify.com/v1/tracks/2LQl7VZ33XSVE68pgAiK1o,https://api.spotify.com/v1/audio-analysis/2LQl7VZ33XSVE68pgAiK1o,175560,4
35,7ppPZa3TRUSGKaks9wH7VT,Don't Look Back In Anger,Oasis,(What's The Story) Morning Glory?,0.349,0.917,0,-3.645,1,0.071,0.026,7.25e-06,0.0968,0.206,164.036,audio_features,spotify:track:7ppPZa3TRUSGKaks9wH7VT,https://api.spotify.com/v1/tracks/7ppPZa3TRUSGKaks9wH7VT,https://api.spotify.com/v1/audio-analysis/7ppPZa3TRUSGKaks9wH7VT,287827,4
36,3v4My1UDxIBWVtJiajPTsJ,AKA… What A Life!,Noel Gallagher's High Flying Birds,Noel Gallagher's High Flying Birds,0.447,0.922,6,-3.278,0,0.0474,0.000307,0.354,0.0973,0.115,119.024,audio_features,spotify:track:3v4My1UDxIBWVtJiajPTsJ,https://api.spotify.com/v1/tracks/3v4My1UDxIBWVtJiajPTsJ,https://api.spotify.com/v1/audio-analysis/3v4My1UDxIBWVtJiajPTsJ,264467,4
37,2CwMxEXxMiLRrKPLjQLmne,New Year's Day,U2,The Best Of 1980 - 1990,0.518,0.803,8,-6.337,0,0.0318,0.00151,0.0246,0.612,0.633,133.462,audio_features,spotify:track:2CwMxEXxMiLRrKPLjQLmne,https://api.spotify.com/v1/tracks/2CwMxEXxMiLRrKPLjQLmne,https://api.spotify.com/v1/audio-analysis/2CwMxEXxMiLRrKPLjQLmne,257040,4
38,0dMd4rilfd6gPbXaLpNYhu,Higher Ground,Stevie Wonder,Innervisions,0.716,0.85,8,-9.949,1,0.0426,0.0631,0.00133,0.189,0.821,125.474,audio_features,spotify:track:0dMd4rilfd6gPbXaLpNYhu,https://api.spotify.com/v1/tracks/0dMd4rilfd6gPbXaLpNYhu,https://api.spotify.com/v1/audio-analysis/0dMd4rilfd6gPbXaLpNYhu,222600,4
39,6PqMi24DPibrFj9Ioc4hKL,Canción Animal - Remasterizado 2007,Soda Stereo,Canción Animal (Remastered),0.635,0.789,4,-6.815,0,0.0244,0.000848,0.00348,0.331,0.716,105.119,audio_features,spotify:track:6PqMi24DPibrFj9Ioc4hKL,https://api.spotify.com/v1/tracks/6PqMi24DPibrFj9Ioc4hKL,https://api.spotify.com/v1/audio-analysis/6PqMi24DPibrFj9Ioc4hKL,247453,4
40,5u6y4u5EgDv0peILf60H5t,Oye Como Va,Santana,Abraxas,0.736,0.379,7,-13.208,1,0.0539,0.301,0.345,0.104,0.948,128.399,audio_features,spotify:track:5u6y4u5EgDv0peILf60H5t,https://api.spotify.com/v1/tracks/5u6y4u5EgDv0peILf60H5t,https://api.spotify.com/v1/audio-analysis/5u6y4u5EgDv0peILf60H5t,256933,4
41,7L2arBxHMxVXbWQzaHKgnY,Los Calientes,Babasónicos,Jessico,0.61,0.921,4,-4.184,0,0.0349,0.00352,0.341,0.223,0.631,108.032,audio_features,spotify:track:7L2arBxHMxVXbWQzaHKgnY,https://api.spotify.com/v1/tracks/7L2arBxHMxVXbWQzaHKgnY,https://api.spotify.com/v1/audio-analysis/7L2arBxHMxVXbWQzaHKgnY,277011,4
42,13P5rwmk2EsoFRIz9UCeh9,Cool Kids,Echosmith,Talking Dreams (Deluxe Edition),0.719,0.671,8,-6.279,1,0.0336,0.0372,8.21e-06,0.12,0.786,130.027,audio_features,spotify:track:13P5rwmk2EsoFRIz9UCeh9,https://api.spotify.com/v1/tracks/13P5rwmk2EsoFRIz9UCeh9,https://api.spotify.com/v1/audio-analysis/13P5rwmk2EsoFRIz9UCeh9,237627,4
43,4jjtFbO4dYu4JO0CIph6Ak,Le Disko,Shiny Toy Guns,We Are Pilots,0.762,0.697,7,-3.657,1,0.0463,0.0688,7.52e-05,0.269,0.705,123.033,audio_features,spotify:track:4jjtFbO4dYu4JO0CIph6Ak,https://api.spotify.com/v1/tracks/4jjtFbO4dYu4JO0CIph6Ak,https://api.spotify.com/v1/audio-analysis/4jjtFbO4dYu4JO0CIph6Ak,203307,4
44,4AIYKuKYHRsBKWuvpmBt51,You Are The One,Shiny Toy Guns,We Are Pilots,0.408,0.874,9,-2.996,0,0.0408,8.35e-05,0.0,0.417,0.182,141.978,audio_features,spotify:track:4AIYKuKYHRsBKWuvpmBt51,https://api.spotify.com/v1/tracks/4AIYKuKYHRsBKWuvpmBt51,https://api.spotify.com/v1/audio-analysis/4AIYKuKYHRsBKWuvpmBt51,270893,4
45,7n2bNmtXC8m78XJoFW0yRb,Like a Lady,The Sounds,Living in America (US version),0.623,0.847,10,-5.211,0,0.0332,0.00107,0.0,0.0683,0.654,144.993,audio_features,spotify:track:7n2bNmtXC8m78XJoFW0yRb,https://api.spotify.com/v1/tracks/7n2bNmtXC8m78XJoFW0yRb,https://api.spotify.com/v1/audio-analysis/7n2bNmtXC8m78XJoFW0yRb,209733,4
